original_id,Entity Group ID,Entity Category,Entity Subgroup ID,Name,original_classification_dict
2145,Firm,Cabinets,Contractor,"Creative Renovation & Cabinetry, Inc.","{'original_id': 2145, 'Name': 'Creative Renovation & Cabinetry, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Cabinets', 'Entity Subgroup ID': 'Contractor'}"
2148,Firm,,Contractor,Fast Signs,"{'original_id': 2148, 'Name': 'Fast Signs', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2149,Firm,,Contractor,"Forge Signworks, Inc.","{'original_id': 2149, 'Name': 'Forge Signworks, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2150,Firm,,Contractor,Gem State Roofing,"{'original_id': 2150, 'Name': 'Gem State Roofing', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2152,Firm,,Contractor,Harrison Renovation Co.,"{'original_id': 2152, 'Name': 'Harrison Renovation Co.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2153,Firm,,Contractor,"HDT Pools, LLC","{'original_id': 2153, 'Name': 'HDT Pools, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2154,Firm,,Contractor,Hobson Fabricating Corp.,"{'original_id': 2154, 'Name': 'Hobson Fabricating Corp.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2155,Firm,,Contractor,Honey Do Projects,"{'original_id': 2155, 'Name': 'Honey Do Projects', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2156,Firm,Builder,Builder,Hornet Construction LLC,"{'original_id': 2156, 'Name': 'Hornet Construction LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Builder', 'Entity Subgroup ID': 'Builder'}"
2157,Firm,,Builder,"Jensen Homes, Inc.","{'original_id': 2157, 'Name': 'Jensen Homes, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2158,Firm,,Contractor,"Mobile Home Locators, Inc.","{'original_id': 2158, 'Name': 'Mobile Home Locators, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2159,Firm,,Contractor,"Pools West, Inc.","{'original_id': 2159, 'Name': 'Pools West, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2160,Firm,,Builder,Rolling River Construction,"{'original_id': 2160, 'Name': 'Rolling River Construction', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2161,Firm,,Contractor,"S C Roofing, Inc.","{'original_id': 2161, 'Name': 'S C Roofing, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2162,Firm,,Builder,Scott Myers and Sons Roofing and Construction L.L.C.,"{'original_id': 2162, 'Name': 'Scott Myers and Sons Roofing and Construction L.L.C.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2163,Firm,,Contractor,Select Pools and Spas LLC,"{'original_id': 2163, 'Name': 'Select Pools and Spas LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2164,Firm,,Contractor,"Spa Pool Center, Inc.","{'original_id': 2164, 'Name': 'Spa Pool Center, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2165,Firm,,Contractor,"Stor-Mor Systems, Inc.","{'original_id': 2165, 'Name': 'Stor-Mor Systems, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2166,Firm,Remodeling,Contractor,"Strite Design + Remodel, Inc.","{'original_id': 2166, 'Name': 'Strite Design + Remodel, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Remodeling', 'Entity Subgroup ID': 'Contractor'}"
2167,Firm,Sign Shop,Contractor,Superior Signs,"{'original_id': 2167, 'Name': 'Superior Signs', 'Entity Group ID': 'Firm', 'Entity Category': 'Sign Shop', 'Entity Subgroup ID': 'Contractor'}"
2168,Firm,,Contractor,Superior Custom Homes and Renovations,"{'original_id': 2168, 'Name': 'Superior Custom Homes and Renovations', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2169,Firm,,Contractor,T Squared Power LLC,"{'original_id': 2169, 'Name': 'T Squared Power LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2170,Firm,,Contractor,"THD At-Home Services, Inc.","{'original_id': 2170, 'Name': 'THD At-Home Services, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2171,Firm,,"Builder, Contractor","Professionals, Inc. (The)","{'original_id': 2171, 'Name': 'Professionals, Inc. (The)', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder, Contractor'}"
2173,Firm,,Contractor,"Triton Tower, Inc.","{'original_id': 2173, 'Name': 'Triton Tower, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2175,Firm,,Builder,"Van Graves Construction, L.L.C.","{'original_id': 2175, 'Name': 'Van Graves Construction, L.L.C.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2177,Firm,,Contractor,Wallace Renovations LLC,"{'original_id': 2177, 'Name': 'Wallace Renovations LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2178,Firm,,Contractor,Webster Construction,"{'original_id': 2178, 'Name': 'Webster Construction', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2179,Firm,,Contractor,"Wesley Newlun's Roofing, Inc.","{'original_id': 2179, 'Name': ""Wesley Newlun's Roofing, Inc."", 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2180,Firm,,Contractor,"Western Roofing, Inc.","{'original_id': 2180, 'Name': 'Western Roofing, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2181,Firm,,Contractor,Wise Roofing L.L.C.,"{'original_id': 2181, 'Name': 'Wise Roofing L.L.C.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2182,Firm,Sign Shop,Contractor,Yesco LLC,"{'original_id': 2182, 'Name': 'Yesco LLC', 'Entity Group ID': 'Firm', 'Entity Category': 'Sign Shop', 'Entity Subgroup ID': 'Contractor'}"
2183,Firm,,Contractor,Young's Renovation & Construction LLC.,"{'original_id': 2183, 'Name': ""Young's Renovation & Construction LLC."", 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2184,Firm,,Builder,Greg Eggleston Construction (The House Doctor) LLC,"{'original_id': 2184, 'Name': 'Greg Eggleston Construction (The House Doctor) LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2185,Firm,,Builder,High Desert Building Services LLC,"{'original_id': 2185, 'Name': 'High Desert Building Services LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2186,Firm,,Contractor,"Idaho Home and Energy, Inc.","{'original_id': 2186, 'Name': 'Idaho Home and Energy, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2187,Firm,,Contractor,"Idaho Tower Construction Company, LLC","{'original_id': 2187, 'Name': 'Idaho Tower Construction Company, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2188,Firm,,Builder,"Benchmark Construction, Inc.","{'original_id': 2188, 'Name': 'Benchmark Construction, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2189,Firm,,Builder,"H B State, LLC","{'original_id': 2189, 'Name': 'H B State, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2191,Firm,,Builder,"Anderson & Wood Construction Co., Inc.","{'original_id': 2191, 'Name': 'Anderson & Wood Construction Co., Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2193,Firm,,Builder,"Wolverton Homes, LLC","{'original_id': 2193, 'Name': 'Wolverton Homes, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2194,Firm,Cabinets,Contractor,1st Choice Cabinetry Inc,"{'original_id': 2194, 'Name': '1st Choice Cabinetry Inc', 'Entity Group ID': 'Firm', 'Entity Category': 'Cabinets', 'Entity Subgroup ID': 'Contractor'}"
2195,Firm,,Contractor,"208 Handyman, LLC.","{'original_id': 2195, 'Name': '208 Handyman, LLC.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2196,Firm,,Contractor,208 Roofing and Construction LLC,"{'original_id': 2196, 'Name': '208 Roofing and Construction LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2197,Firm,,Contractor,A & D Roofing & Paving,"{'original_id': 2197, 'Name': 'A & D Roofing & Paving', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2198,Firm,Construction - Excavating,Contractor,A.R. Concrete & Excavation LLC.,"{'original_id': 2198, 'Name': 'A.R. Concrete & Excavation LLC.', 'Entity Group ID': 'Firm', 'Entity Category': 'Construction - Excavating', 'Entity Subgroup ID': 'Contractor'}"
2199,Firm,,Contractor,ABC Seamless,"{'original_id': 2199, 'Name': 'ABC Seamless', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2200,Firm,,Builder,"Action Steel Builders, Inc.","{'original_id': 2200, 'Name': 'Action Steel Builders, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2201,Firm,,Contractor,"Ada-Can Construction, Inc.","{'original_id': 2201, 'Name': 'Ada-Can Construction, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2202,Firm,,Contractor,Advanced Enterprises,"{'original_id': 2202, 'Name': 'Advanced Enterprises', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2203,Firm,Sign Shop,Contractor,Advanced Sign & Design,"{'original_id': 2203, 'Name': 'Advanced Sign & Design', 'Entity Group ID': 'Firm', 'Entity Category': 'Sign Shop', 'Entity Subgroup ID': 'Contractor'}"
2204,Firm,,Contractor,Advantage Seamless Rain Gutter,"{'original_id': 2204, 'Name': 'Advantage Seamless Rain Gutter', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2207,Firm,,Contractor,All Aspects Builders LLC,"{'original_id': 2207, 'Name': 'All Aspects Builders LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2208,Firm,,Contractor,"Altenergy, Inc.","{'original_id': 2208, 'Name': 'Altenergy, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2209,Firm,,Contractor,Ameribrick LLC,"{'original_id': 2209, 'Name': 'Ameribrick LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2211,Firm,,Contractor,American Wrecking,"{'original_id': 2211, 'Name': 'American Wrecking', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2212,Firm,,Contractor,Amity Roofing LLC,"{'original_id': 2212, 'Name': 'Amity Roofing LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2213,Firm,,Contractor,AMP Construction LLC,"{'original_id': 2213, 'Name': 'AMP Construction LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2214,Firm,,Contractor,"Angood Construction, LLC","{'original_id': 2214, 'Name': 'Angood Construction, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2216,Firm,,Contractor,Arbor Finish Carpentry Inc.,"{'original_id': 2216, 'Name': 'Arbor Finish Carpentry Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2218,Firm,,Contractor,"Asbestos Abatement, Inc.","{'original_id': 2218, 'Name': 'Asbestos Abatement, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2219,Firm,,Contractor,Allied Electric Sign & Awning,"{'original_id': 2219, 'Name': 'Allied Electric Sign & Awning', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2220,Firm,,Builder,"Artisan Construction & Remodel, Incorporated","{'original_id': 2220, 'Name': 'Artisan Construction & Remodel, Incorporated', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2222,Firm,,Contractor,Artisan Custom Carpentry and Renovations LLC,"{'original_id': 2222, 'Name': 'Artisan Custom Carpentry and Renovations LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2223,Firm,,Contractor,"Aspen Construction, LLC (The)","{'original_id': 2223, 'Name': 'Aspen Construction, LLC (The)', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2224,Firm,,Contractor,"Aspen Exteriors, Inc.","{'original_id': 2224, 'Name': 'Aspen Exteriors, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2225,Firm,,Contractor,Astle Brothers Roofing,"{'original_id': 2225, 'Name': 'Astle Brothers Roofing', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2226,Firm,,Contractor,"Atwater Construction Services, LLC","{'original_id': 2226, 'Name': 'Atwater Construction Services, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2227,Firm,,Contractor,B & B Steel Erectors,"{'original_id': 2227, 'Name': 'B & B Steel Erectors', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2228,Firm,,Contractor,"B C & G Construction, LLC","{'original_id': 2228, 'Name': 'B C & G Construction, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2229,Firm,,Contractor,Belfor USA Group Inc.,"{'original_id': 2229, 'Name': 'Belfor USA Group Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2230,Firm,,Contractor,"Benchmark Electric, LLC","{'original_id': 2230, 'Name': 'Benchmark Electric, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2232,Firm,,Contractor,"Berry Electrical Services, Inc.","{'original_id': 2232, 'Name': 'Berry Electrical Services, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2233,Firm,,Builder,"Bill Garrett Construction, LLC","{'original_id': 2233, 'Name': 'Bill Garrett Construction, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2234,Firm,,Contractor,"Black Oak Builders, LLC","{'original_id': 2234, 'Name': 'Black Oak Builders, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2235,Firm,,Contractor,Black Smith Signs LLC,"{'original_id': 2235, 'Name': 'Black Smith Signs LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2236,Firm,,Contractor,"Blue Ribbon Exteriors, LLC","{'original_id': 2236, 'Name': 'Blue Ribbon Exteriors, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2238,Firm,,Contractor,Boise River Builders LLC,"{'original_id': 2238, 'Name': 'Boise River Builders LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2239,Firm,,Contractor,"Boise River Fencing, LLC","{'original_id': 2239, 'Name': 'Boise River Fencing, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2240,Firm,,Contractor,Bork Roofing LLC.,"{'original_id': 2240, 'Name': 'Bork Roofing LLC.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2241,Firm,,Contractor,"Brilliant Services, LLC","{'original_id': 2241, 'Name': 'Brilliant Services, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2242,Firm,,Contractor,"Broken Arrow Communications, Inc.","{'original_id': 2242, 'Name': 'Broken Arrow Communications, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2243,Firm,,Contractor,Bryant's Construction LLC,"{'original_id': 2243, 'Name': ""Bryant's Construction LLC"", 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2244,Firm,,Contractor,Buster Built,"{'original_id': 2244, 'Name': 'Buster Built', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2245,Firm,,Builder,"Bricon, Inc.","{'original_id': 2245, 'Name': 'Bricon, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2246,Firm,,Contractor,C & A Paving Company,"{'original_id': 2246, 'Name': 'C & A Paving Company', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2247,Firm,,Builder,"C-2 Construction, Inc.","{'original_id': 2247, 'Name': 'C-2 Construction, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2248,Firm,,Contractor,"Cahill Construction, Inc.","{'original_id': 2248, 'Name': 'Cahill Construction, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2250,Firm,,Contractor,Camco Construction Services LLC.,"{'original_id': 2250, 'Name': 'Camco Construction Services LLC.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2251,Firm,,Contractor,"Cano Roofing, Inc.","{'original_id': 2251, 'Name': 'Cano Roofing, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2252,Firm,,Contractor,Capital Paving Company,"{'original_id': 2252, 'Name': 'Capital Paving Company', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2253,Firm,,Contractor,Carpenter's Remodeling Company,"{'original_id': 2253, 'Name': ""Carpenter's Remodeling Company"", 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2254,Firm,,Contractor,C-B Construction,"{'original_id': 2254, 'Name': 'C-B Construction', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2255,Firm,,Contractor,Cleary Building Corp.,"{'original_id': 2255, 'Name': 'Cleary Building Corp.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2256,Firm,,Contractor,"CMD Contracting, Inc","{'original_id': 2256, 'Name': 'CMD Contracting, Inc', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2257,Firm,,Contractor,"Clearspan Carpentry, L.L.C.","{'original_id': 2257, 'Name': 'Clearspan Carpentry, L.L.C.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2258,Firm,,Contractor,Commercial Sign & Design,"{'original_id': 2258, 'Name': 'Commercial Sign & Design', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2259,Firm,,Contractor,Compass Construction LLC,"{'original_id': 2259, 'Name': 'Compass Construction LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2260,Firm,,Builder,Construction Alternatives LLC,"{'original_id': 2260, 'Name': 'Construction Alternatives LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2261,Firm,,Contractor,Construction Unlimited LLC,"{'original_id': 2261, 'Name': 'Construction Unlimited LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2263,Firm,,Contractor,"Crickets Construction, Inc.","{'original_id': 2263, 'Name': 'Crickets Construction, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2264,Firm,,Contractor,"Crown Construction, LLC","{'original_id': 2264, 'Name': 'Crown Construction, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2266,Firm,,Contractor,"Custom Steel Structures, Inc.","{'original_id': 2266, 'Name': 'Custom Steel Structures, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2269,Firm,,Contractor,"Chamisa Building Company, Inc. (The)","{'original_id': 2269, 'Name': 'Chamisa Building Company, Inc. (The)', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2270,Firm,,Contractor,Christian Brothers Construction,"{'original_id': 2270, 'Name': 'Christian Brothers Construction', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2271,Firm,,Contractor,Clearwater Pools and Spas,"{'original_id': 2271, 'Name': 'Clearwater Pools and Spas', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2272,Firm,,Contractor,"D & H Builders, Inc.","{'original_id': 2272, 'Name': 'D & H Builders, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2273,Firm,,Contractor,"Danville Homes, Inc.","{'original_id': 2273, 'Name': 'Danville Homes, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2274,Firm,Construction - Excavating,Contractor,"Daystar Excavation, Inc.","{'original_id': 2274, 'Name': 'Daystar Excavation, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Construction - Excavating', 'Entity Subgroup ID': 'Contractor'}"
2275,Firm,,Contractor,Dennis Wattier Construction,"{'original_id': 2275, 'Name': 'Dennis Wattier Construction', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2276,Firm,,Contractor,Diamond Contractors LLC,"{'original_id': 2276, 'Name': 'Diamond Contractors LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2277,Firm,Home Inspection,Home Inspection,DLH Home Inspection Services,"{'original_id': 2277, 'Name': 'DLH Home Inspection Services', 'Entity Group ID': 'Firm', 'Entity Category': 'Home Inspection', 'Entity Subgroup ID': 'Home Inspection'}"
2278,Firm,,Contractor,"Dotson Roofing & Construction, Inc.","{'original_id': 2278, 'Name': 'Dotson Roofing & Construction, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2279,Firm,,Contractor,"Drake Mechanical, Inc.","{'original_id': 2279, 'Name': 'Drake Mechanical, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2280,Firm,,Contractor,"Dynamic Constuction & Remodel, LLC","{'original_id': 2280, 'Name': 'Dynamic Constuction & Remodel, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2281,Firm,,"Builder, Contractor",Eagle Material Handling LLC,"{'original_id': 2281, 'Name': 'Eagle Material Handling LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder, Contractor'}"
2282,Firm,,Contractor,"Elda Property Services, LLC","{'original_id': 2282, 'Name': 'Elda Property Services, LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2283,Firm,,Contractor,"Embree Construction Group, Inc.","{'original_id': 2283, 'Name': 'Embree Construction Group, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2284,Firm,,Contractor,EnergySEAL Air Barrier Systems LLC.,"{'original_id': 2284, 'Name': 'EnergySEAL Air Barrier Systems LLC.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2285,Firm,,Builder,Equity Builders,"{'original_id': 2285, 'Name': 'Equity Builders', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Builder'}"
2286,Firm,,Contractor,Eric Wilson Construction LLC.,"{'original_id': 2286, 'Name': 'Eric Wilson Construction LLC.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2287,Firm,,Contractor,"Exterior Elements, Inc.","{'original_id': 2287, 'Name': 'Exterior Elements, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2288,Firm,,Contractor,"Fiberpipe, Inc.","{'original_id': 2288, 'Name': 'Fiberpipe, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2289,Firm,,Contractor,Foothills Construction,"{'original_id': 2289, 'Name': 'Foothills Construction', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2290,Firm,,Contractor,Forza Construction,"{'original_id': 2290, 'Name': 'Forza Construction', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2292,Firm,,Contractor,"G & D Enterprises, Inc.","{'original_id': 2292, 'Name': 'G & D Enterprises, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2293,Firm,,Contractor,"Gafford Construction, Inc.","{'original_id': 2293, 'Name': 'Gafford Construction, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2294,Firm,,Contractor,Green Remodeling LLC,"{'original_id': 2294, 'Name': 'Green Remodeling LLC', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2295,Firm,,Contractor,"Greenhouses, Etc.","{'original_id': 2295, 'Name': 'Greenhouses, Etc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Contractor'}"
2296,Firm,Construction - Excavating,Contractor,"Gregg Barney Excavation, Inc.","{'original_id': 2296, 'Name': 'Gregg Barney Excavation, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Construction - Excavating', 'Entity Subgroup ID': 'Contractor'}"
