original_id,entity_group_id,entity_category,entity_subgroup_id,confidence,candidates,ID,Entity Group ID,Entity Subgroup ID,Entity Category,Name,IDSOS Name,status
2446,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 50.0, 'reasoning': ""The name includes 'Construction', which by rule is classified as 'Contractor'.""}]",2446,Firm,Contractor,,"Timmons Construction, Inc.","TIMMONS CONSTRUCTION, INC.",7.0
2447,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 40.0, 'reasoning': ""The name includes 'Construction', which by rule should be classified as 'Contractor'. However, some construction firms may also act as builders, but there is no explicit indication of residential or commercial building.""}]",2447,Firm,Contractor,,"Titan Construction, LLC","TITAN CONSTRUCTION, LLC",7.0
2448,Private,Contractor,Excavation,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': 'The name and category both indicate excavation as a specialty, but the company may also do general contracting.'}]",2448,Firm,Contractor,Construction - Excavating,Titan Excavation and Construction LLC,TITAN EXCAVATION AND CONSTRUCTION LLC,7.0
2449,Private,Contractor,Pools,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 30.0, 'reasoning': ""The name 'Titan Pools' suggests a specialty in pool construction, which fits best under 'Contractor' with 'Pools' as the specialty.""}]",2449,Firm,Contractor,,Titan Pools,TITAN POOLS,7.0
2450,Private,Contractor,General,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 80.0, 'reasoning': ""The input subgroup includes both 'Builder' and 'Contractor'. Since 'Construction' is in the name, the primary classification is 'Contractor', but 'Builder' is also plausible.""}]",2450,Firm,"Builder, Contractor",,T.K. Construction,T.K. CONSTRUCTION,7.0
2451,Private,Contractor,Painting,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 50.0, 'reasoning': ""The name specifies 'Painting & Wallcovering', which is a specialty contracting service.""}]",2451,Firm,Contractor,,"Topcoat Painting & Wallcovering, Inc.","TOPCOAT PAINTING & WALLCOVERING, INC.",7.0
2452,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 30.0, 'reasoning': ""If 'Handyman' is not considered a contractor, it could be classified as 'Other', but 'Contractor' is the most appropriate based on rules.""}]",2452,Firm,Contractor,,Total Handyman Solutions LLC.,TOTAL HANDYMAN SOLUTIONS LLC.,7.0
2453,Private,Contractor,General,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""The input includes both 'Builder' and 'Contractor', but no indication of residential or commercial, so 'Contractor' is preferred per rules.""}]",2453,Firm,"Builder, Contractor",,"Towercom Technologies, L.L.C.","TOWERCOM TECHNOLOGIES, L.L.C.",7.0
2454,Private,Contractor,General,85.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 40.0, 'reasoning': ""If 'Sign Shop' is not considered a contractor, it could be 'Other', but 'Contractor' is preferred due to the presence of 'Contractor' in the subgroup.""}]",2454,Firm,Contractor,Sign Shop,"Trademark Sign Company, Inc","TRADEMARK SIGN COMPANY, INC",7.0
2456,Private,Contractor,General,98.0,[],2456,Firm,Contractor,,Transformation Construction,TRANSFORMATION CONSTRUCTION,7.0
2457,Private,Contractor,General,98.0,[],2457,Firm,Contractor,,Treasure Valley Exteriors LLC.,TREASURE VALLEY EXTERIORS LLC.,7.0
2458,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'Remodeling', 'confidence': 70.0, 'reasoning': ""The name includes 'Remodel', which could indicate a specialty in remodeling, but without explicit rule for 'Remodeling' as a subgroup, 'General' is safest.""}]",2458,Firm,Contractor,,"Treasure Valley Remodel & Restoration, LLC","TREASURE VALLEY REMODEL & RESTORATION, LLC",7.0
2459,Private,Contractor,General,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""The name includes 'Construction', which by rule is classified as 'Contractor' with 'General' if no specialty is specified.""}]",2459,Firm,Contractor,,Tri State Construction,TRI STATE CONSTRUCTION,7.0
2461,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 40.0, 'reasoning': ""Material handling could be a specialty, but not explicitly listed in rules. Defaulting to 'Contractor - General' is most consistent.""}]",2461,Firm,Contractor,,"Tucker Material Handling, Inc.","TUCKER MATERIAL HANDLING, INC.",7.0
2462,Private,Contractor,General,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 30.0, 'reasoning': ""No clear specialty or indication of another category. 'Contractor - General' is most consistent with rules.""}]",2462,Firm,Contractor,,"Twin Islands, LLC","TWIN ISLANDS, LLC",7.0
2463,Private,Contractor,General,92.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 20.0, 'reasoning': ""The name 'Ultra Clean' could suggest a cleaning service, but with 'Remodeling' and 'Contractor' in the input, 'Contractor - General' is most consistent.""}]",2463,Firm,Contractor,Remodeling,"Ultra Clean, Inc.","BJW INVESTMENTS, INC.",7.0
2464,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'Management', 'confidence': 60.0, 'reasoning': ""The name includes 'Management', which could suggest a specialty in construction management, but 'Contractor' is the more general and consistent classification per rules.""}]",2464,Firm,Contractor,,Unified Construction Management,UNIFIED CONSTRUCTION MANAGEMENT,7.0
2465,Private,Contractor,Pools,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 70.0, 'reasoning': ""If the company does more than pools, 'General' could apply, but the name strongly indicates a pool specialty.""}]",2465,Firm,Contractor,,"Universal Pools, LLC","UNIVERSAL POOLS, LLC",7.0
2468,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'Other', 'confidence': 50.0, 'reasoning': ""The name does not specify a specialty, so 'General' is most consistent, but 'Enterprises' could indicate a broader business.""}]",2468,Firm,Contractor,,Velvet Hammer Enterprises L.L.C.,VELVET HAMMER ENTERPRISES L.L.C.,7.0
2469,Private,Contractor,Remodeling,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""If the company does more than remodeling, 'General' could apply, but the name specifically indicates remodeling.""}]",2469,Firm,Contractor,,Victory Remodeling LLC,VICTORY REMODELING LLC,7.0
2470,Private,Contractor,Remodeling,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'Windows, Remodeling', 'confidence': 80.0, 'reasoning': ""The name includes 'Window', so a more specific subgroup could be 'Windows, Remodeling', but 'Remodeling' is the most consistent and clear.""}]",2470,Firm,Contractor,,Victory Window & Remodeling,VICTORY WINDOW & REMODELING,7.0
2472,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 40.0, 'reasoning': ""The name includes 'Building Associates', which could suggest a builder, but 'Contractor' is the provided subgroup and there is no explicit indication of residential or commercial building.""}]",2472,Firm,Contractor,,"W.E. Pierce Building Associates, LLC","W.E. PIERCE BUILDING ASSOCIATES, LLC",7.0
2473,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 30.0, 'reasoning': ""The name includes 'Construction', which could indicate a builder, but the default should be 'Contractor' unless 'Builder' is explicitly indicated.""}]",2473,Firm,Contractor,,"Wayne Swanson Construction, Inc.","WAYNE SWANSON CONSTRUCTION, INC.",7.0
2474,Private,Contractor,Landscape,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 10.0, 'reasoning': ""The name includes 'Landscape', but the rules specify that if 'Construction' is present, the category should be 'Contractor' with the specialty as the subgroup.""}]",2474,Firm,Contractor,Landscape,Western Idaho Construction & Landscape,WESTERN IDAHO CONSTRUCTION & LANDSCAPE,7.0
2475,Private,Contractor,Siding,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 20.0, 'reasoning': ""The name 'Western Siding' suggests a specialty in siding, so 'Siding' is the most accurate subgroup.""}]",2475,Firm,Contractor,,Western Siding,WESTERN SIDING,7.0
2476,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 20.0, 'reasoning': ""The name includes 'Construction', which could indicate a builder, but the default should be 'Contractor' unless 'Builder' is explicitly indicated.""}]",2476,Firm,Contractor,,"Wickstrom Construction, LLC","WICKSTROM CONSTRUCTION, LLC",7.0
2477,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 40.0, 'reasoning': ""The name includes 'Building', which could suggest a builder, but 'Contractor' is the provided subgroup and there is no explicit indication of residential or commercial building.""}]",2477,Firm,Contractor,,"Wilderness Falls Building, LLC","WILDERNESS FALLS BUILDING, LLC",7.0
2478,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 20.0, 'reasoning': ""The name 'Woodwork, Etc.' could suggest a specialty, but without more detail, 'General Contractor' is the most consistent classification.""}]",2478,Firm,Contractor,,"Woodwork, Etc.","WOODWORK, ETC.",7.0
2480,Private,Contractor,General,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 10.0, 'reasoning': ""The name includes 'Construction Management', but this is typically still classified as a general contractor unless otherwise specified.""}]",2480,Firm,Contractor,,"Yother Construction Management, Incorporated","YOTHER CONSTRUCTION MANAGEMENT, INCORPORATED",7.0
2481,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 10.0, 'reasoning': ""No specialty or other category is indicated; 'Contractor' is the most consistent classification.""}]",2481,Firm,Contractor,,"Zelham, Inc.","ZELHAM, INC.",7.0
2482,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 10.0, 'reasoning': ""No specialty or other category is indicated; 'Contractor' is the most consistent classification.""}]",2482,Firm,Contractor,,"Bill Bott, Inc.","BILL BOTT, INC.",7.0
2483,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'Remodeling', 'confidence': 40.0, 'reasoning': ""The name does not specify a specialty, but 'Remodeling' could be a possible subgroup for some construction firms. However, without explicit evidence, 'General' is preferred.""}]",2483,Firm,Contractor,,Carter Construction,CARTER CONSTRUCTION,7.0
2484,Private,Builder,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 30.0, 'reasoning': ""The term 'Builder' is present in the subgroup, but if there was no indication of being a builder, it would default to Contractor. Here, 'Builder' is clear.""}]",2484,Firm,Builder,,"Primary Construction, Inc.","PRIMARY CONSTRUCTION, INC.",7.0
2487,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'Remodeling', 'confidence': 35.0, 'reasoning': ""No specialty is indicated in the name, so 'General' is most appropriate, but 'Remodeling' is a possible alternative for some construction companies.""}]",2487,Firm,Contractor,,"Caliente Construction, Inc.","CALIENTE CONSTRUCTION, INC.",7.0
2488,Private,Contractor,Siding,85.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""The name 'Gators Roofing' suggests a specialty in roofing, but 'Roofing' is not in the provided subgroups. 'Siding' is the closest match from the provided reclassified subgroups, but 'General' could also apply if no specialty is recognized.""}]",2488,Firm,Contractor,,Gators Roofing LLC,GATORS ROOFING LLC,7.0
2489,Private,Contractor,Remodeling,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 50.0, 'reasoning': ""The name 'Home Improvements' strongly suggests remodeling, but if not, 'General' could be a fallback.""}]",2489,Firm,Contractor,,R & C Home Improvements LLC,R & C HOME IMPROVEMENTS LLC,7.0
2490,Private,Contractor,Restoration,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 80.0, 'reasoning': ""The name includes 'Restoration', which is a specialty, but if not considered a specialty, 'General' could apply.""}]",2490,Firm,Contractor,,"Jem Property Restoration, LLC","JEM PROPERTY RESTORATION, LLC",7.0
2491,Private,Contractor,Concrete,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""If 'Concrete' is not considered a specialty, 'General' could be used, but 'Concrete' is clearly indicated in the name.""}]",2491,Firm,Contractor,,"A-1 Quality Concrete, Co.","A-1 QUALITY CONCRETE, CO.",7.0
2492,Private,Contractor,Roofing,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 50.0, 'reasoning': ""If 'Roofing' is not considered a specialty, 'General' could be used, but 'Roofing' is clearly indicated in the name.""}]",2492,Firm,Contractor,,"Ada County Roofing, Inc.","ADA COUNTY ROOFING, INC.",7.0
2495,Private,Contractor,Restoration,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 70.0, 'reasoning': ""The name includes 'Restoration', which is a specialty, but if not considered a specialty, 'General' could apply.""}]",2495,Firm,Contractor,,Aspen Creek Property Maintenance and Restoration,Aspen Creek Property Maintenance and Restoration,7.0
2496,Private,Contractor,Remodeling,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""The name includes 'Remodeling', which is a specialty, but if not considered a specialty, 'General' could apply.""}]",2496,Firm,Contractor,,Bella Remodeling L.L.C.,Bella Remodeling L.L.C.,7.0
2497,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""The name 'Boise Built' could suggest a builder, but 'Contractor' is explicitly listed in the input, so Contractor is preferred.""}]",2497,Firm,Contractor,,Boise Built LLC,BOISE BUILT LLC,7.0
2498,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 50.0, 'reasoning': ""The name includes 'Construction', which by rule is always classified as Contractor, not Builder.""}]",2498,Firm,Contractor,,Caliber Construction,CALIBER CONSTRUCTION,7.0
2499,Private,Contractor,General,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 55.0, 'reasoning': ""The name 'Development' could suggest Builder, but 'Contractor' is explicitly listed in the input.""}]",2499,Firm,Contractor,,"Cladis Development, LLC","CLADIS DEVELOPMENT, LLC",7.0
2501,Private,Builder,,80.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""The name 'Mountain Steel' could indicate a specialty contractor (steel), but 'Builder' is explicitly listed in the input.""}]",2501,Firm,Builder,,Mountain Steel,MOUNTAIN STEEL,7.0
2504,Private,Contractor,Masonry,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""The name 'Genther Masonry' clearly indicates a masonry specialty, so 'Masonry' is the correct subgroup.""}]",2504,Firm,Contractor,,"Genther Masonry, Inc.","GENTHER MASONRY, INC.",7.0
2505,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 30.0, 'reasoning': 'The name does not indicate a specific specialty or home building focus, so Contractor is more appropriate, but Builder is a distant secondary candidate.'}]",2505,Firm,Contractor,,Global Construction,GLOBAL CONSTRUCTION,7.0
2507,Private,Contractor,General,97.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 25.0, 'reasoning': ""The name includes 'Property Services', which could indicate broader services, but Contractor is the best fit.""}]",2507,Firm,Contractor,,Hill Construction & Property Services,HILL CONSTRUCTION & PROPERTY SERVICES,7.0
2510,Private,Contractor,Insulation,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 10.0, 'reasoning': ""The name specifies 'Insulation', so this is a specialty contractor. General is a distant fallback.""}]",2510,Firm,Contractor,,"Insulation Plus, LLC","INSULATION PLUS, LLC",7.0
2516,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 20.0, 'reasoning': 'The name does not indicate a specific specialty or home building focus, so Contractor is more appropriate.'}]",2516,Firm,Contractor,,"Plantenga Construction, Inc.","PLANTENGA CONSTRUCTION, INC.",7.0
2517,Private,Contractor,Roofing,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 10.0, 'reasoning': ""The name specifies 'Roofing', so this is a specialty contractor. General is a distant fallback.""}]",2517,Firm,Contractor,,Pro Tech Roofing Inc.,PRO TECH ROOFING INC.,7.0
2518,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'Restoration', 'confidence': 60.0, 'reasoning': ""The name 'River Repair and Construction' could imply a specialty in restoration or water-related repair, but without explicit specialty, 'General' is safest.""}]",2518,Firm,Contractor,,River Repair and Construction,RIVER REPAIR AND CONSTRUCTION,7.0
2519,Private,Builder,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""The name includes 'Builders', which by rule should be classified as 'Builder'. If not, default to 'Contractor'.""}]",2519,Firm,Contractor,,Russ McCrea Builders,RUSS MCCREA BUILDERS,7.0
2520,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 55.0, 'reasoning': ""The name includes 'Construction', which by rule is 'Contractor'. If there was 'Builder' in the name, 'Builder' would be primary.""}]",2520,Firm,Contractor,,"Scott Lantefield Construction, LLC","SCOTT LANTEFIELD CONSTRUCTION, LLC",7.0
2521,Private,Contractor,General,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 50.0, 'reasoning': ""The business appears to be a sign company, which does not fit cleanly into the provided categories, but 'Contractor' is the closest fit.""}]",2521,Firm,Contractor,,Signs By Tomorrow,SIGNS BY TOMORROW,7.0
2522,Private,Builder,Residential,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""The name 'Solstice Homes' strongly implies residential building, so 'Builder' with 'Residential' is most appropriate.""}]",2522,Firm,Builder,Contractor,Solstice Homes LLC,SOLSTICE HOMES LLC,7.0
2524,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'Residential', 'confidence': 60.0, 'reasoning': ""The name includes 'Construction', which by rule is classified as 'Contractor'. However, if there was evidence of home building, 'Builder' could be considered.""}]",2524,Firm,Contractor,,Tim Wilson Construction Inc.,TIM WILSON CONSTRUCTION INC.,7.0
2525,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'Millwork', 'confidence': 70.0, 'reasoning': ""The business name includes 'Door & Millwork', which could indicate a specialty, but without more evidence, 'General' is safest.""}]",2525,Firm,Contractor,,TNT Door & Millwork Inc,TNT DOOR & MILLWORK INC,7.0
2527,Private,Contractor,Cabinets,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""The name specifies 'Garage Cabinets', so 'Cabinets' is a logical specialty. If not, default would be 'General'.""}]",2527,Firm,Contractor,Cabinets,"Treasure Valley Garage Cabinets, LLC","TREASURE VALLEY GARAGE CABINETS, LLC",7.0
2528,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'Residential', 'confidence': 55.0, 'reasoning': ""The name includes 'Construction', so 'Contractor' is primary. If there was evidence of home building, 'Builder' could be considered.""}]",2528,Firm,Contractor,,Triple G Construction Inc.,TRIPLE G CONSTRUCTION INC.,7.0
2529,Private,Contractor,General,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': 'NULL', 'confidence': 40.0, 'reasoning': ""The name is generic and does not indicate a specialty, so 'General' is most appropriate. If more context was available, a different classification could be considered.""}]",2529,Firm,Contractor,,True Compass LLC,TRUE COMPASS LLC,7.0
2530,Private,Contractor,Windows,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 70.0, 'reasoning': ""The name suggests a specialty in windows, but if they do broader work, 'General' could apply.""}]",2530,Firm,Contractor,,"Wood Windows, Inc.","WOOD WINDOWS, INC.",7.0
2531,Private,Builder,Residential,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""The name includes 'Builders', which by rule is classified as 'Builder' with 'Residential' unless commercial is indicated.""}]",2531,Firm,Contractor,,Woodwright Custom Builders LLC,WOODWRIGHT CUSTOM BUILDERS LLC,7.0
2532,Private,Contractor,Landscape,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Landscape', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""The input category is 'Landscape', but per rules, this is a specialty contractor.""}]",2532,Firm,Contractor,Landscape,"Aldape Sprinkler Service, Landscape & More LLC","ALDAPE SPRINKLER SERVICE, LANDSCAPE & MORE LLC",7.0
2533,Private,Contractor,Remodeling,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'Residential', 'confidence': 60.0, 'reasoning': ""The name includes 'Home', which could indicate a builder, but 'Renovations' leans toward remodeling contractor.""}]",2533,Firm,Contractor,,"Artisan Home Renovations, LLC","ARTISAN HOME RENOVATIONS, LLC",7.0
2535,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 50.0, 'reasoning': ""The name includes 'Construction', which by rule is classified as 'Contractor', but could also be a builder if more context was available.""}]",2535,Firm,Contractor,,"Black Butte Construction, Inc.","BLACK BUTTE CONSTRUCTION, INC.",7.0
2536,Private,Contractor,Excavation,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 70.0, 'reasoning': ""If 'Excavation' is not considered a specialty, it could default to 'General', but the name and original category both indicate excavation as the specialty.""}]",2536,Firm,Contractor,Construction - Excavating,Bulldog Excavation,BULLDOG EXCAVATION,7.0
2537,Private,Contractor,Steel,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""If the company is a general contractor, but the name 'Steel' suggests a specialty in steel work.""}]",2537,Firm,Contractor,,Farwest Steel Corporation,FARWEST STEEL CORPORATION,7.0
2539,Private,Contractor,Roofing,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 40.0, 'reasoning': 'The name clearly indicates roofing as the specialty, but if not, could be general.'}]",2539,Firm,Contractor,,"Four Seasons Roofing, Inc.","FOUR SEASONS ROOFING OF OREGON, INC.",7.0
2540,Private,Contractor,Plumbing,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 50.0, 'reasoning': 'The name includes both plumbing and construction, but plumbing is a clear specialty.'}]",2540,Firm,Contractor,,Knight Plumbing and Construction Inc,KNIGHT PLUMBING AND CONSTRUCTION INC,7.0
2541,Private,Contractor,General,85.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'NULL', 'confidence': 40.0, 'reasoning': ""The name is generic and does not indicate a specialty, so 'General' is most appropriate.""}]",2541,Firm,Contractor,,Little Buckaroo Const. Inc.,LITTLE BUCKAROO CONST. INC.,7.0
2543,Private,Contractor,Remodeling,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 60.0, 'reasoning': ""If 'Remodeling' is not considered a specialty, 'General' could apply, but the name directly references 'Remodeling'.""}]",2543,Firm,Contractor,,Prestique Remodeling,PRESTIQUE REMODELING,7.0
2544,Private,Contractor,General,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'Retail', 'confidence': 60.0, 'reasoning': ""The name includes 'Retail', which could indicate a specialty, but 'General' is safer without more context.""}]",2544,Firm,Contractor,,"Retail Construction Services, Inc.","RETAIL CONSTRUCTION SERVICES, INC.",7.0
2546,Private,Contractor,Drywall,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 50.0, 'reasoning': ""If 'Drywall' is not considered a specialty, 'General' could apply, but the name directly references 'Drywall'.""}]",2546,Firm,Contractor,,"Waltec Drywall & Construction, Inc.","WALTEC DRYWALL & CONSTRUCTION, INC.",7.0
2547,Private,Contractor,Windows,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 40.0, 'reasoning': ""The name is highly specific to windows, but if not considered a specialty, 'General' could apply.""}]",2547,Firm,Contractor,,Window World of Boise,WINDOW WORLD OF BOISE,7.0
2548,Private,Contractor,Electrical,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Contractor', 'entity_subgroup_id': 'General', 'confidence': 30.0, 'reasoning': ""The name is highly specific to electrical work, but if not considered a specialty, 'General' could apply.""}]",2548,Firm,Contractor,,Winters Electric LLC,WINTERS ELECTRIC LLC,7.0
2549,Private,Contractor,General,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': 'NULL', 'confidence': 40.0, 'reasoning': ""The name includes 'Construction', which could indicate a builder, but there is no explicit indication of residential or commercial building, so Contractor is more appropriate.""}]",2549,Firm,Contractor,,All Pro Construction,ALL PRO CONSTRUCTION,7.0
2550,Private,Contractor,Landscape,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Landscape', 'entity_subgroup_id': 'NULL', 'confidence': 60.0, 'reasoning': ""The name and input suggest landscape contracting, but per rules, 'Contractor' is the category and 'Landscape' is the specialty.""}]",2550,Firm,Contractor,Landscape,Boden Haus Landscape Inc.,BODEN HAUS LANDSCAPE INC.,7.0
